"prediction" "V1"
"1" 9 9
"2" 6 6
"3" 3 3
"4" 6 6
"5" 6 6
"6" 0 0
"7" 0 0
"8" 0 0
"9" 6 6
"10" 9 9
"11" 6 6
"12" 2 2
"13" 2 2
"14" 4 4
"15" 0 0
"16" 3 3
"17" 1 1
"18" 4 6
"19" 9 9
"20" 6 6
"21" 2 2
"22" 2 2
"23" 4 4
"24" 9 9
"25" 6 6
"26" 2 2
"27" 0 0
"28" 5 3
"29" 8 8
"30" 3 3
"31" 7 7
"32" 0 0
"33" 5 5
"34" 0 0
"35" 7 7
"36" 9 9
"37" 5 5
"38" 0 0
"39" 0 0
"40" 7 7
"41" 0 0
"42" 8 8
"43" 1 1
"44" 0 0
"45" 7 7
"46" 1 1
"47" 0 0
"48" 4 4
"49" 2 2
"50" 0 0
"51" 8 8
"52" 5 5
"53" 1 1
"54" 0 2
"55" 0 0
"56" 6 6
"57" 5 5
"58" 9 9
"59" 2 2
"60" 0 0
"61" 9 9
"62" 0 0
"63" 4 4
"64" 2 2
"65" 0 0
"66" 9 9
"67" 1 1
"68" 2 2
"69" 2 2
"70" 1 1
"71" 8 8
"72" 3 3
"73" 7 7
"74" 2 2
"75" 0 0
"76" 9 9
"77" 0 0
"78" 1 1
"79" 2 2
"80" 1 1
"81" 2 2
"82" 0 0
"83" 7 7
"84" 2 2
"85" 0 0
"86" 6 6
"87" 7 7
"88" 8 8
"89" 2 2
"90" 0 0
"91" 9 9
"92" 0 0
"93" 1 4
"94" 8 8
"95" 2 2
"96" 0 0
"97" 7 7
"98" 0 0
"99" 0 0
"100" 9 9
"101" 0 0
"102" 6 6
"103" 7 7
"104" 3 3
"105" 0 0
"106" 7 7
"107" 2 2
"108" 8 8
"109" 9 9
"110" 4 4
"111" 3 3
"112" 3 3
"113" 9 9
"114" 9 9
"115" 7 7
"116" 0 0
"117" 5 5
"118" 9 9
"119" 9 9
"120" 6 6
"121" 8 8
"122" 5 5
"123" 7 3
"124" 0 0
"125" 6 6
"126" 8 8
"127" 5 5
"128" 6 6
"129" 1 1
"130" 4 4
"131" 8 8
"132" 2 5
"133" 0 0
"134" 1 1
"135" 2 6
"136" 9 9
"137" 0 0
"138" 0 0
"139" 7 7
"140" 7 7
"141" 9 9
"142" 6 6
"143" 6 6
"144" 3 3
"145" 3 3
"146" 0 2
"147" 7 7
"148" 5 5
"149" 0 0
"150" 9 9
"151" 6 6
"152" 2 2
"153" 2 2
"154" 4 4
"155" 8 8
"156" 9 9
"157" 1 1
"158" 0 0
"159" 1 1
"160" 0 0
"161" 0 2
"162" 9 9
"163" 0 0
"164" 6 6
"165" 9 0
"166" 2 2
"167" 9 9
"168" 0 0
"169" 3 3
"170" 3 3
"171" 4 4
"172" 0 0
"173" 9 9
"174" 0 0
"175" 4 4
"176" 0 0
"177" 8 8
"178" 6 6
"179" 0 0
"180" 4 4
"181" 1 1
"182" 0 0
"183" 6 6
"184" 0 0
"185" 4 4
"186" 0 0
"187" 6 6
"188" 4 4
"189" 1 1
"190" 4 4
"191" 1 1
"192" 0 0
"193" 1 1
"194" 0 0
"195" 4 4
"196" 5 5
"197" 7 7
"198" 2 2
"199" 3 8
"200" 6 6
"201" 3 3
"202" 1 1
"203" 8 8
"204" 0 0
"205" 5 5
"206" 0 0
